
==========================================================================================
[2026-01-25T12:24:21] START trial=107 seed=20263121
CMD: C:\Users\stewe67\PycharmProjects\FilteredTest\.venv\Scripts\python.exe C:\Users\stewe67\PycharmProjects\FilteredTest\main.py --dataset C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\dataset_2026-01-13_masked.npy --mask C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\mask_2026-01-13_masked.npy --assets C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\assets_2026-01-13.txt --dates C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\dates_2026-01-13.txt --features C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\features_2026-01-13.json --cfg C:\Users\stewe67\PycharmProjects\FilteredTest\runs_tcn_sweep_robust\sweep\trial_0107\cfg.json --outdir C:\Users\stewe67\PycharmProjects\FilteredTest\runs_full_trial107_seed20263121 --epochs 120 --seed 20263121 --max_anchors_val 0 --early_stop_min_epochs 30 --early_stop_patience 20
[INFO] 2026-01-25 12:24:29,415 - device=cuda
[INFO] loaded cube: A=2395, T=7000, F=25
[INFO] time split: train=[0,4899] val=[4900,5949] test=[5950,6999]
[INFO] date ranges: train 1999-01-04..2017-10-13 | val 2017-10-16..2021-10-22 | test 2021-10-25..2025-10-31
[INFO] applied masked standardization using train-only statistics
[INFO] asset_keep: 2395/2395 assets remain after mask-only filter
[INFO] samples: train=800000 val=1615532 test=1617230
[INFO] 2026-01-25 12:25:09,797 - training start
[INFO] 2026-01-25 14:17:40,633 - E010 S00400/00782 loss=0.522318 ema=0.523526 y_mean=0.530 lr=4.931e-04 step/s=3.72
[INFO] 2026-01-25 14:18:07,593 - E010 S00500/00782 loss=0.551984 ema=0.523683 y_mean=0.533 lr=4.931e-04 step/s=3.72
[INFO] 2026-01-25 14:18:34,833 - E010 S00600/00782 loss=0.511825 ema=0.519149 y_mean=0.531 lr=4.931e-04 step/s=3.71
[INFO] 2026-01-25 14:19:01,488 - E010 S00700/00782 loss=0.535979 ema=0.521376 y_mean=0.510 lr=4.931e-04 step/s=3.71
[INFO] 2026-01-25 14:28:11,211 - [VAL] thr=0.500 trades=787611 avg_rnet=0.000918 winrate=0.549
[INFO] 2026-01-25 14:28:11,225 - E010 DONE train_loss=0.523101 val_bce=0.791163 val_acc@0.5=0.5277 n_val=1615532 epoch_time_s=738.2
[INFO] 2026-01-25 14:28:11,606 - E011 S00001/00782 loss=0.512256 ema=0.512256 y_mean=0.532 lr=4.915e-04 step/s=2.62
[INFO] 2026-01-25 14:28:38,251 - E011 S00100/00782 loss=0.522069 ema=0.516771 y_mean=0.521 lr=4.915e-04 step/s=3.70
[INFO] 2026-01-25 14:29:04,902 - E011 S00200/00782 loss=0.553827 ema=0.520273 y_mean=0.527 lr=4.915e-04 step/s=3.73
[INFO] 2026-01-25 14:29:31,772 - E011 S00300/00782 loss=0.536077 ema=0.519428 y_mean=0.532 lr=4.915e-04 step/s=3.72
[INFO] 2026-01-25 14:29:58,623 - E011 S00400/00782 loss=0.516647 ema=0.513264 y_mean=0.501 lr=4.915e-04 step/s=3.72
[INFO] 2026-01-25 14:30:25,344 - E011 S00500/00782 loss=0.546349 ema=0.520857 y_mean=0.538 lr=4.915e-04 step/s=3.73
[INFO] 2026-01-25 14:30:52,219 - E011 S00600/00782 loss=0.527592 ema=0.518903 y_mean=0.519 lr=4.915e-04 step/s=3.73
[INFO] 2026-01-25 14:31:18,913 - E011 S00700/00782 loss=0.501872 ema=0.514569 y_mean=0.521 lr=4.915e-04 step/s=3.73
[INFO] 2026-01-25 14:40:29,867 - [VAL] thr=0.500 trades=863280 avg_rnet=-0.000824 winrate=0.533
[INFO] 2026-01-25 14:40:29,867 - E011 DONE train_loss=0.517161 val_bce=0.835103 val_acc@0.5=0.5156 n_val=1615532 epoch_time_s=738.6
[INFO] 2026-01-25 14:40:30,235 - E012 S00001/00782 loss=0.515946 ema=0.515946 y_mean=0.497 lr=4.897e-04 step/s=2.71
[INFO] 2026-01-25 14:40:56,855 - E012 S00100/00782 loss=0.530708 ema=0.512504 y_mean=0.527 lr=4.897e-04 step/s=3.71
[INFO] 2026-01-25 14:41:23,476 - E012 S00200/00782 loss=0.519861 ema=0.508921 y_mean=0.508 lr=4.897e-04 step/s=3.73
[INFO] 2026-01-25 14:41:50,335 - E012 S00300/00782 loss=0.494607 ema=0.509366 y_mean=0.529 lr=4.897e-04 step/s=3.73
[INFO] 2026-01-25 14:42:16,977 - E012 S00400/00782 loss=0.494343 ema=0.508179 y_mean=0.545 lr=4.897e-04 step/s=3.73
[INFO] 2026-01-25 14:42:43,850 - E012 S00500/00782 loss=0.503521 ema=0.514149 y_mean=0.499 lr=4.897e-04 step/s=3.73
[INFO] 2026-01-25 14:43:10,908 - E012 S00600/00782 loss=0.535604 ema=0.516252 y_mean=0.530 lr=4.897e-04 step/s=3.73
[INFO] 2026-01-25 14:43:37,788 - E012 S00700/00782 loss=0.525390 ema=0.507489 y_mean=0.527 lr=4.897e-04 step/s=3.72
[INFO] 2026-01-25 14:52:46,691 - [VAL] thr=0.984 trades=246 avg_rnet=0.012506 winrate=0.715
[INFO] 2026-01-25 14:52:46,691 - E012 DONE train_loss=0.510287 val_bce=0.800473 val_acc@0.5=0.5190 n_val=1615532 epoch_time_s=736.8
[INFO] 2026-01-25 14:52:47,262 - E013 S00001/00782 loss=0.478270 ema=0.478270 y_mean=0.529 lr=4.878e-04 step/s=1.75
[INFO] 2026-01-25 14:53:13,705 - E013 S00100/00782 loss=0.504793 ema=0.502500 y_mean=0.538 lr=4.878e-04 step/s=3.70
[INFO] 2026-01-25 14:53:40,626 - E013 S00200/00782 loss=0.494333 ema=0.503658 y_mean=0.518 lr=4.878e-04 step/s=3.71
[INFO] 2026-01-25 14:54:07,321 - E013 S00300/00782 loss=0.528407 ema=0.505781 y_mean=0.512 lr=4.878e-04 step/s=3.72
[INFO] 2026-01-25 14:54:34,213 - E013 S00400/00782 loss=0.501556 ema=0.501634 y_mean=0.541 lr=4.878e-04 step/s=3.72
[INFO] 2026-01-25 14:55:00,967 - E013 S00500/00782 loss=0.514141 ema=0.501625 y_mean=0.530 lr=4.878e-04 step/s=3.72
[INFO] 2026-01-25 14:55:27,874 - E013 S00600/00782 loss=0.478835 ema=0.507612 y_mean=0.530 lr=4.878e-04 step/s=3.72
[INFO] 2026-01-25 14:55:54,870 - E013 S00700/00782 loss=0.492267 ema=0.504885 y_mean=0.506 lr=4.878e-04 step/s=3.72
[INFO] 2026-01-25 15:05:03,896 - [VAL] thr=0.972 trades=1364 avg_rnet=0.007418 winrate=0.609
[INFO] 2026-01-25 15:05:03,896 - E013 DONE train_loss=0.504070 val_bce=0.813004 val_acc@0.5=0.5163 n_val=1615532 epoch_time_s=737.2
[INFO] 2026-01-25 15:05:04,282 - E014 S00001/00782 loss=0.505761 ema=0.505761 y_mean=0.509 lr=4.857e-04 step/s=2.59
[INFO] 2026-01-25 15:05:30,944 - E014 S00100/00782 loss=0.493313 ema=0.498820 y_mean=0.506 lr=4.857e-04 step/s=3.70
[INFO] 2026-01-25 15:05:57,618 - E014 S00200/00782 loss=0.493324 ema=0.493742 y_mean=0.500 lr=4.857e-04 step/s=3.72
[INFO] 2026-01-25 15:06:24,507 - E014 S00300/00782 loss=0.509810 ema=0.503479 y_mean=0.509 lr=4.857e-04 step/s=3.72
[INFO] 2026-01-25 15:06:51,387 - E014 S00400/00782 loss=0.491172 ema=0.496538 y_mean=0.516 lr=4.857e-04 step/s=3.72
[INFO] 2026-01-25 15:07:18,223 - E014 S00500/00782 loss=0.524482 ema=0.500809 y_mean=0.529 lr=4.857e-04 step/s=3.72
[INFO] 2026-01-25 15:07:45,165 - E014 S00600/00782 loss=0.528571 ema=0.498259 y_mean=0.512 lr=4.857e-04 step/s=3.72
[INFO] 2026-01-25 15:08:12,470 - E014 S00700/00782 loss=0.495643 ema=0.501459 y_mean=0.508 lr=4.857e-04 step/s=3.71
[INFO] 2026-01-25 15:17:23,631 - [VAL] thr=0.984 trades=625 avg_rnet=0.003872 winrate=0.574
[INFO] 2026-01-25 15:17:23,631 - E014 DONE train_loss=0.498748 val_bce=0.809893 val_acc@0.5=0.5234 n_val=1615532 epoch_time_s=739.7
[INFO] 2026-01-25 15:17:24,012 - E015 S00001/00782 loss=0.479885 ema=0.479885 y_mean=0.508 lr=4.834e-04 step/s=2.69
[INFO] 2026-01-25 15:17:50,657 - E015 S00100/00782 loss=0.506685 ema=0.488470 y_mean=0.510 lr=4.834e-04 step/s=3.70
[INFO] 2026-01-25 15:18:17,654 - E015 S00200/00782 loss=0.463847 ema=0.489771 y_mean=0.518 lr=4.834e-04 step/s=3.70
[INFO] 2026-01-25 15:18:44,723 - E015 S00300/00782 loss=0.503225 ema=0.490861 y_mean=0.519 lr=4.834e-04 step/s=3.70
[INFO] 2026-01-25 15:19:11,390 - E015 S00400/00782 loss=0.483719 ema=0.487188 y_mean=0.523 lr=4.834e-04 step/s=3.71
[INFO] 2026-01-25 15:19:38,338 - E015 S00500/00782 loss=0.485813 ema=0.488756 y_mean=0.487 lr=4.834e-04 step/s=3.71
